Zip Code,Population,Total_female_population,Actual_Mean_Income,Land_area,Housing Unit,Latitude,Longitude
10522,10875,6731,114954,6291700,4191,41.0103101,-73.8637463
10523,7444,5381,105930,9347439,2676,41.0593406,-73.8194574
10524,4421,4120,64833,53875656,1771,41.3752415,-73.9261223
10526,1809,2144,114174,8528946,729,41.2911139,-73.6705324
10527,908,860,151111,6331136,297,41.3211825,-73.7698785
10528,12280,411,105603,9910757,4885,40.974752,-73.7257773
10530,12604,6675,125966,9913590,6169,41.023712,-73.8128101
10532,4931,7076,100148,4834526,1743,41.0992784,-73.8003267
10533,7322,2545,84940,9207502,2924,41.0369274,-73.8548636
10535,555,3871,171428,1169775,239,41.3351693,-73.7939193
10536,10739,419,N,66377322,3776,41.2690983,-73.6886937
10537,2416,5328,177172,2789284,1043,41.33974,-73.882349
10538,16597,740,66463,9309984,6477,40.938637,-73.7559056
10541,26339,8548,191583,64465346,9425,41.3785442,-73.7544469
10543,20135,13177,79645,10581252,7971,40.9526929,-73.7360405
10545,141,10742,114304,326173,1,41.1785912,-73.8354497
10546,1277,0,N,2908559,476,41.1972369,-73.8004184
10547,7647,706,135115,13120787,2851,41.3133342,-73.8460386
10548,3487,3654,75189,6067787,1190,41.2456965,-73.932977
10549,16638,1650,82843,49697618,6305,41.200584,-73.723465
10550,37144,7526,98873,5145599,15563,40.9054482,-73.8352533
10552,19786,20059,49758,4291821,9509,40.9244599,-73.8261153
10553,10170,10871,73563,1790573,3812,40.9085841,-73.8216523
10560,4737,6000,53855,54013618,1905,41.3405273,-73.5976089
10562,31796,2577,131387,35699633,11349,41.1944804,-73.8252539
10566,23570,15734,67592,11322930,9705,41.28947,-73.917823
10567,19929,11948,63400,57335255,6907,41.2895453,-73.8970302
10570,12680,10546,107719,16882808,4357,41.1300674,-73.78667
10573,38352,6598,121626,14183493,13662,41.015857,-73.677404
10576,5116,19531,78336,58277925,2118,41.2215765,-73.5723324
10577,6552,2764,203876,17397482,855,41.0382712,-73.7117434
10578,681,3675,229025,4101865,252,41.3202757,-73.6789909
10579,8675,431,79960,84879358,3551,41.3942246,-73.8386602
10580,17208,4690,91782,21974258,6475,40.9789421,-73.69332
10583,38982,8923,237434,32018620,14301,40.9886819,-73.7892035
10588,2282,20816,208283,5169908,867,41.3366225,-73.8200068
10589,8475,1536,63960,20708928,3972,41.3284358,-73.7028583
10590,6767,5029,129827,34956345,2683,41.2554413,-73.5393223
10591,22540,3368,142064,25614414,9047,41.0900971,-73.8410139
10594,5117,12514,100374,6487422,1694,41.1134245,-73.7742917
10595,8195,2473,90980,15473636,2420,41.0858973,-73.7826451
10596,1729,3641,91141,1611723,724,41.2562581,-73.9591771
10597,968,873,64733,8647618,395,41.2930212,-73.5965677
10598,28647,641,154988,68620383,10644,41.2882235,-73.7922032
10601,11376,15017,94102,1640102,6127,41.0329318,-73.7650714
10603,17045,5978,114983,8520506,7070,41.0543997,-73.7792873
10604,11250,9698,82085,17645709,4252,41.0620786,-73.7433799
10605,18126,5490,95649,13158332,7508,41.0105253,-73.7451254
10606,16499,9067,100693,3912506,6125,41.0205725,-73.7758456
10607,6824,9309,73579,5752851,2374,41.0390886,-73.811368
10701,63393,3241,88864,10940538,25511,40.9454202,-73.8804708
10703,20301,31445,57600,4563135,8007,40.959829,-73.8803025
10704,30165,10817,56819,6918814,13292,40.9197286,-73.8626512
10705,38777,16639,65209,5732006,14554,40.9197049,-73.8899283
10706,8679,21281,54668,7494736,3621,40.9898206,-73.8675519
10707,10097,4591,140456,3363600,4356,40.9605334,-73.8227322
10708,21225,5204,110376,7972300,9667,40.9382666,-73.8299222
10709,9292,12481,149020,3529311,3781,40.9546346,-73.8081843
10710,25120,4922,106854,11863704,10464,40.9671566,-73.8463391
10801,40827,14957,79781,8850509,15154,40.9175701,-73.7848575
10803,12435,20904,63535,5668104,4498,40.9004583,-73.8071383
10804,14146,6212,174197,11224987,5183,40.946841,-73.7880512
10805,18414,7563,158232,4469017,7975,40.8977212,-73.7792577
10901,23465,9650,64673,46615179,9391,41.1407721,-74.1049762
10910,21,12290,94689,5388402,17,41.28157,-74.137958
10911,2,27,N,2698775,2,41.3191578,-74.0081593
10913,5532,0,-,10695374,1635,41.0682581,-73.9549749
10914,414,2640,96490,6325876,155,41.4177169,-74.2000257
10915,119,308,N,373883,47,41.545359,-74.3593213
10916,4540,14,N,52319620,1500,41.4424627,-74.2506743
10917,1968,2153,91669,9624014,709,41.3195248,-74.1176407
10918,11647,1043,84299,85261669,4254,41.344192,-74.262177
10919,1040,6205,71659,10661353,380,41.5259589,-74.3876178
10920,8554,553,65392,10814581,3012,41.1562128,-73.9377476
10921,4135,4422,77658,21008695,1545,41.3320619,-74.3634117
10922,1559,1912,73078,5889712,710,41.3327598,-73.9964523
10923,8732,714,57027,5093744,3081,41.2025644,-74.0006212
10924,13120,4112,60354,99312601,4819,41.381005,-74.3524707
10925,4539,6518,75494,10076776,2393,41.198181,-74.3147585
10926,3203,1976,81281,13426644,1305,41.3014009,-74.1227013
10927,11910,1577,57708,5092351,3598,41.1910517,-73.9675622
10928,4175,6224,50620,14096143,1934,41.3489701,-73.9984949
10930,8958,1984,63972,35938343,3091,41.3616755,-74.1132965
10931,1023,4353,84619,16606678,381,41.1487916,-74.1625223
10932,60,456,56315,386531,27,41.4821604,-74.4642848
10933,473,81,N,2828798,158,41.3679836,-74.5129682
10940,48418,465,70733,168071512,18800,41.4465442,-74.4787406
10941,13779,25249,55254,82948357,5131,41.4873175,-74.344437
10950,47226,6467,58491,94268120,14106,41.317089,-74.2019608
10952,38917,24927,69966,23654071,9697,41.1111183,-74.0785398
10953,252,20923,66668,2854241,116,41.4049642,-74.0774317
10954,23045,110,N,17820981,8809,41.099029,-74.0122957
10956,31521,11993,81188,41890589,10600,41.1571906,-73.9934155
10958,3291,16117,99095,59221508,1112,41.3719126,-74.4324788
10960,15093,1318,58922,10862399,6638,41.0920682,-73.9246477
10962,5950,7384,91017,15184121,1879,41.0500663,-73.9585848
10963,4298,2782,79730,32820261,969,41.4635286,-74.5434225
10964,1472,1375,47139,6388185,601,41.0162043,-73.9143041
10965,14791,717,156269,13608978,5599,41.0615606,-74.0078322
10968,2353,8047,90063,1504348,1265,41.036334,-73.9216326
10969,1267,1159,110156,29061020,501,41.2947964,-74.4879781
10970,9993,688,79131,35656952,3918,41.179603,-74.0997944
10973,2126,5098,72926,21742582,786,41.3805159,-74.4804624
10974,3152,1102,76737,24125845,1141,41.1680577,-74.1780132
10975,281,1603,73056,15236998,173,41.2670792,-74.1722632
10976,2258,132,N,2973733,642,41.0229603,-73.9284882
10977,59048,1654,70333,28751003,15891,41.1189196,-74.0481583
10979,234,31708,59624,377418,144,41.1828298,-74.3149208
10980,13383,51,N,63144330,4973,41.2389024,-74.050013
10983,5532,7460,76225,5280099,1967,41.0310877,-73.9477026
10984,2842,2910,97905,4149729,944,41.2029031,-74.0222645
10985,58,1726,59080,665812,19,41.5835194,-74.3731882
10986,1974,19,N,27973507,720,41.2852346,-73.9987104
10987,3395,810,106262,96140065,1542,41.1869279,-74.2373501
10988,896,1595,96200,8156721,343,41.3020809,-74.548556
10989,9293,348,60682,12780655,3611,41.1229554,-73.9380305
10990,20631,5544,78586,157658362,7835,41.2674476,-74.3640107
10992,9621,9997,94089,28725140,3467,41.4261608,-74.1643465
10993,4769,4688,69453,2994240,1689,41.2098964,-73.9738416
10994,7085,2709,53576,15831268,2375,41.0980715,-73.9726491
10996,6756,4018,95075,8390527,841,41.3936995,-73.9721745
10998,3122,2216,39706,48312250,1064,41.3240483,-74.5411921
11001,26883,1351,61901,5775030,9598,40.7233167,-73.7049494
11003,41356,13977,80354,10723323,12850,40.6991762,-73.706166
11004,14016,23286,58199,2460789,5152,40.7461981,-73.7114694
11005,1806,7888,69113,472584,1852,40.7565778,-73.7141781
11010,23821,1278,91823,6151544,8402,40.7005873,-73.6750185
11020,5914,12390,73492,5085564,1966,40.771442,-73.7148193
11021,17729,3242,123344,6054699,8392,40.7843194,-73.7314877
11023,9027,9755,111461,4289289,3261,40.7987003,-73.7337023
11024,8002,5004,108306,9127289,2389,40.8160897,-73.7414145
11030,17962,3819,105026,17284662,6488,40.7934088,-73.688549
11040,40782,9385,189055,12388380,13900,40.7453467,-73.6802919
11042,520,21633,81962,1527083,1,40.7585378,-73.6972238
11050,30171,359,-,25877534,11863,40.8398955,-73.6931279
11096,8344,15758,137021,3165331,2702,40.6213463,-73.7569899
11101,25484,3776,53700,6773846,12317,40.7471297,-73.9397356
11102,34133,13141,77572,2092161,15499,40.7728839,-73.9262952
11103,38780,17063,61116,1841677,18518,40.7625741,-73.9134473
11104,27232,19574,58620,1010093,12532,40.7446166,-73.9202137
11105,36688,13349,59757,4226734,17416,40.7788766,-73.9067685
11106,38875,18768,63884,2219776,18296,40.7622113,-73.9315281
11109,3523,20021,62284,103922,2127,40.7451154,-73.9569284
11201,51128,2425,130521,3680347,26390,40.693682,-73.9896934
11203,76174,30642,133127,5557080,28087,40.6495909,-73.9343709
11204,78134,42815,48620,4115356,28196,40.6187792,-73.9848262
11205,40366,40188,52730,2459479,16409,40.694698,-73.9663011
11206,81677,24150,66320,3715223,29941,40.7019538,-73.9423577
11207,93386,44370,49252,6917454,34202,40.6707467,-73.8942094
11208,94469,51120,43290,8951522,32069,40.669689,-73.8713713
11209,68853,50863,42385,5599867,34679,40.6219821,-74.0303233
11210,62008,35756,76284,4250381,22476,40.6281475,-73.9463244
11211,90117,37306,58009,5952757,37180,40.7125973,-73.9530981
11212,84500,49843,79250,3983224,31847,40.6629365,-73.9130288
11213,63767,49835,43832,2825709,24974,40.6710776,-73.9363357
11214,88630,36059,48483,5658758,35261,40.5991479,-73.9960898
11215,63488,46840,53671,5641351,30073,40.6626879,-73.9867402
11216,54316,36150,108009,2422753,25964,40.6807675,-73.9493165
11217,35881,29112,57235,1944333,17581,40.6823056,-73.9780993
11218,75220,20307,107291,3699262,26598,40.643476,-73.9760425
11219,92221,37977,62963,3838518,28693,40.6326665,-73.9966687
11220,99598,47404,42992,4639238,31045,40.6412207,-74.0168625
11221,78895,49664,40716,3582802,31784,40.6913401,-73.9278789
11222,36934,43510,47949,3947645,18756,40.7277898,-73.947605
11223,78731,18642,69788,5372270,32407,40.5971394,-73.9734285
11224,47621,41151,57798,3999168,20768,40.5773723,-73.9887059
11225,56829,24036,58968,2289249,23588,40.6630459,-73.9542192
11226,101572,32714,52555,3339497,37745,40.646448,-73.9566488
11228,41788,56111,48337,3807131,18234,40.6166949,-74.0130467
11229,80018,23899,66590,5611289,34885,40.6012928,-73.9444926
11230,86408,43047,62359,4765012,34028,40.6221639,-73.9651053
11231,33336,45853,62785,3683315,16149,40.6779162,-74.0051543
11232,28265,19273,106111,3323376,8980,40.6565275,-74.0073305
11233,67053,13718,47979,3491031,29074,40.6783083,-73.9199358
11234,87757,40015,51065,19547849,33714,40.6050798,-73.9117206
11235,79132,50600,65070,5816304,37619,40.5839493,-73.9490961
11236,93877,40997,62916,9311387,33313,40.6394133,-73.9006642
11237,49896,56024,52940,2537578,16724,40.70416,-73.9211389
11238,49262,25963,42538,2863622,24525,40.6791707,-73.9638044
11239,13393,28380,79074,1477966,6335,40.6477354,-73.8794772
11351,0,7559,44057,7592,0,40.7807472,-73.8253009
11354,54878,0,-,5612651,22201,40.7682082,-73.8274033
11355,85871,30964,49537,4493721,30681,40.7514754,-73.8210311
11356,23438,42789,42064,4069871,8303,40.7848502,-73.8412794
11357,39150,12296,51709,7256742,15924,40.7863945,-73.8108618
11358,37546,20700,71494,5048954,14068,40.760471,-73.7963711
11359,0,19084,60682,636668,0,40.7917856,-73.7768669
11360,18884,0,-,3691086,9308,40.7802937,-73.7812055
11361,28606,10284,84216,4553960,11195,40.7641909,-73.7727748
11362,17823,15078,69806,6518633,7347,40.7565736,-73.7378447
11363,6988,10057,71907,2249596,2797,40.7726163,-73.7465255
11364,34555,3790,89830,6386921,13835,40.7452962,-73.7606074
11365,42252,18144,68567,6466314,16098,40.7396342,-73.7944896
11366,13532,23371,62887,2835025,4723,40.7281522,-73.7850187
11367,41047,7431,70622,6162139,15588,40.7301446,-73.8270304
11368,109931,22323,58417,6816707,30978,40.7494072,-73.8527798
11369,38615,52492,34771,2765090,12184,40.7633359,-73.8724429
11370,39688,19168,44650,3684369,10244,40.7653703,-73.8932425
11371,0,13724,55358,2602752,0,40.7738362,-73.8733994
11372,66636,0,-,1909994,25100,40.7516897,-73.883638
11373,100820,32054,49363,3956011,33227,40.7388252,-73.8785076
11374,43600,47964,43444,2419933,20225,40.7263875,-73.8615086
11375,68733,22894,67647,5129162,34631,40.7209355,-73.8461509
11377,89830,37986,85725,6595693,33545,40.7447883,-73.9051811
11378,34981,44950,46594,6614594,13668,40.7247442,-73.9096392
11379,34821,17031,59743,5372961,14649,40.7167485,-73.8796014
11385,98592,19143,65177,9357002,37251,40.7006713,-73.8894333
11411,18556,52405,50874,3027435,6164,40.6940211,-73.7362177
11412,34882,10597,57519,4264330,11526,40.6980953,-73.7589862
11413,38912,20769,51856,8028308,12975,40.6716586,-73.7525684
11414,26148,23390,56241,5956106,11330,40.6576043,-73.844804
11415,19341,14883,73532,1471500,9206,40.707917,-73.8282116
11416,24861,10133,69296,1724073,7806,40.6846542,-73.8495484
11417,28967,13947,47513,2898286,9714,40.676446,-73.8444429
11418,36256,16216,56029,4229580,11854,40.7002721,-73.8359709
11419,47211,19758,50546,2924898,13454,40.6886731,-73.8229179
11420,44354,25419,44017,5382008,13743,40.6735844,-73.8177332
11421,39127,26178,49447,3336083,12695,40.6940617,-73.8586257
11422,30425,21945,49040,5098423,9900,40.6600603,-73.7360117
11423,29987,18235,56400,3654228,10165,40.7156063,-73.7684709
11424,0,16545,55561,87271,0,40.7143035,-73.8272632
11425,0,0,-,98802,0,40.6077537,-74.0239372
11426,17590,0,-,3493966,6389,40.7364585,-73.7223762
11427,23593,10196,62355,4082592,7958,40.7308873,-73.7456759
11428,19168,11865,66783,2156475,5780,40.7210162,-73.7422446
11429,25105,10212,47071,3369771,7791,40.7097703,-73.7386654
11430,184,14097,51767,18434911,0,40.6471259,-73.7856305
11432,60809,31,N,5566224,19518,40.715359,-73.7930712
11433,32687,34156,53157,4019554,11483,40.6981616,-73.786893
11434,59129,18475,45535,8388456,21681,40.6768082,-73.7764254
11435,53687,37050,47712,3922755,18963,40.7012645,-73.8096047
11436,17949,28950,50242,2040481,5924,40.6758197,-73.7966174
11451,0,10286,48326,91974,0,40.7012822,-73.7959716
11501,19148,0,-,5307491,7841,40.7462835,-73.6389098
11507,7406,9696,70441,2796546,2540,40.7708474,-73.6522597
11509,2653,3685,104896,2181024,1394,40.587963,-73.728528
11510,33048,1121,131879,10998551,11104,40.6501274,-73.6077093
11514,4673,17538,67265,2323170,1825,40.7498913,-73.6124756
11516,7556,2363,83378,2262295,2655,40.625787,-73.7266852
11518,10549,4127,76112,3554629,4348,40.6374721,-73.6668073
11520,43341,5138,84233,13192649,14000,40.6494008,-73.5829506
11530,27273,22458,56121,18391308,9474,40.7268542,-73.6370085
11542,27633,14787,139704,17251485,10610,40.8726052,-73.6286217
11545,12065,13842,71723,29720330,4331,40.8263209,-73.5893651
11547,793,6417,157405,1126461,298,40.8336698,-73.6426872
11548,2780,489,99254,2369366,446,40.8128675,-73.627405
11549,2922,1621,90990,187386,0,40.7172398,-73.6027456
11550,56435,1834,8575,11034175,16859,40.7014749,-73.6211076
11552,23616,30192,49696,8844683,7529,40.6929795,-73.6524157
11553,26034,12249,74341,9069289,6469,40.7064303,-73.5916223
11554,38132,13558,48335,16183381,12863,40.7201151,-73.5588611
11556,17,18596,77750,155327,0,40.7196827,-73.5838071
11557,7823,0,N,5235450,2961,40.6371756,-73.6919759
11558,8370,3738,125265,3878352,3099,40.6053572,-73.6490463
11559,8176,4096,69817,10820799,2821,40.6054799,-73.7162076
11560,6464,4854,143198,19430272,2490,40.8807571,-73.5887244
11561,37280,3236,140121,10099819,18418,40.5890812,-73.6481781
11563,22666,20189,87380,6207872,9126,40.6572531,-73.6737281
11565,8690,11817,77204,2891203,3213,40.6750614,-73.6716661
11566,35321,4448,89804,14121530,12070,40.6632394,-73.5537791
11568,4555,16943,102315,23108293,1124,40.7869637,-73.5965045
11569,1398,2342,196043,1010876,770,40.589786,-73.5823049
11570,26646,565,113732,9525132,10453,40.6660658,-73.6384086
11572,30574,13937,111678,12369733,11093,40.6317721,-73.6366239
11575,16272,15138,87759,4611705,4369,40.6804215,-73.584877
11576,12366,8514,49389,11782385,4630,40.7994137,-73.6474672
11577,12337,6549,149879,7890474,4441,40.783266,-73.6388657
11579,5055,6620,114514,2907571,2073,40.844016,-73.6440064
11580,40113,2671,102993,10118686,13506,40.6749,-73.7021543
11581,20844,22289,68279,6975425,7270,40.651028,-73.7153252
11590,45768,10961,86232,17290910,14450,40.7551819,-73.5743378
11596,10480,24454,66347,3449390,3782,40.7596674,-73.6423077
11598,13328,5504,101609,5158773,4322,40.6309189,-73.712336
11691,60035,6818,104527,7339464,21160,40.6012782,-73.7616509
11692,18540,35484,50504,2586423,6881,40.5940945,-73.7928961
11693,11916,10370,54034,2582599,5170,40.5906918,-73.8097488
11694,20408,5973,64289,3536999,9341,40.5782702,-73.8447616
11697,4079,10350,81213,5749269,2698,40.555681,-73.9206884
11701,27109,2026,100041,12354440,9831,40.681433,-73.4100985
11702,14498,14850,56427,23639541,5850,40.6505807,-73.2624134
11703,16415,7162,94165,8080675,5964,40.7326705,-73.3259255
11704,40222,8603,71262,20873713,14088,40.7175041,-73.3582029
11705,8030,20861,63172,9194715,2944,40.7432775,-73.0558411
11706,62543,3835,89366,44135882,21776,40.7225373,-73.2521829
11709,6669,34566,57032,3913961,2651,40.9064785,-73.559505
11710,34496,3572,100125,12654170,12080,40.6718029,-73.5335138
11713,10401,17127,90099,13077818,3940,40.776152,-72.9432914
11714,22658,4782,70908,11199604,8213,40.7425532,-73.4860812
11715,4752,11338,79691,4379300,1752,40.7510063,-73.0348768
11716,10700,2271,75860,22638758,3925,40.7766974,-73.134857
11717,60745,4827,69890,28295333,14217,40.7837651,-73.2522076
11718,3103,31510,42655,2448217,1156,40.723177,-73.268488
11719,3589,1566,104061,15517338,1304,40.7821525,-72.9121035
11720,29189,1985,80045,21112862,9581,40.8702914,-73.0820967
11721,6292,14435,70737,6449113,2421,40.9007591,-73.3724471
11722,35177,3284,120931,18885203,10158,40.7830334,-73.1949266
11724,3220,17158,48272,9994932,1059,40.8642238,-73.4563827
11725,29150,1615,180383,25270477,9883,40.8404817,-73.2807884
11726,19857,15197,94490,6651434,6355,40.6787891,-73.3957293
11727,29030,11023,51084,23567601,11652,40.8820729,-73.0040135
11729,28032,15880,65009,16227590,9895,40.7626975,-73.321445
11730,14712,14256,68171,19712137,5035,40.7168865,-73.1698184
11731,30184,7472,87782,21698991,10454,40.8626476,-73.3169476
11732,3430,14915,86244,3956466,1417,40.8447364,-73.5369011
11733,18949,2066,131325,30672901,6326,40.9402473,-73.1127839
11735,32098,8391,118979,27080017,11438,40.7327467,-73.4327885
11738,17638,17392,74099,13812407,5610,40.8381897,-73.0382208
11739,1223,7856,69659,2150905,413,40.7293706,-73.1598741
11740,9454,519,131491,9602404,3517,40.8654007,-73.3612919
11741,27655,4806,101838,19382501,9959,40.7948283,-73.0703305
11742,13261,13417,73238,12960866,4798,40.8100106,-73.0414255
11743,42230,6432,80268,65710750,15896,40.8833864,-73.4236415
11746,67094,22332,119770,61847153,21578,40.8142683,-73.3622764
11747,19803,34979,87954,34087733,7529,40.788528,-73.4072977
11749,3345,10178,139055,5668090,1092,40.8067378,-73.1708913
11751,14961,1783,58103,10350269,5513,40.7304856,-73.2139238
11752,9531,7352,78952,9617687,3173,40.7571141,-73.1740117
11753,12014,5014,69943,10039259,4295,40.7897216,-73.5399106
11754,18958,6058,149411,18994228,6975,40.8855663,-73.2498798
11755,12387,9249,88825,8391483,4336,40.8577969,-73.1168176
11756,42791,6285,86574,14296759,14183,40.7245666,-73.5163326
11757,45700,22282,67938,17602045,16104,40.6890103,-73.3733275
